Description,The group of persons or other elements that are the object of the study and to which the study results refer.
Cardinality,"0,1"
Required,No
Accepted Values,String
Usage Notes,"Age, nationality, and residence commonly help to delineate a given universe, but any of a number of factors may be involved, such as sex, race, income, veteran status, criminal convictions, etc. The universe may consist of elements other than persons, such as housing units, court cases, deaths, countries, etc. In general, it should be possible to tell from the description of the universe whether a given individual or element (hypothetical or real) is a member of the population under study.


In general, the universe statement should be about one sentence or shorter."
Example,
